Feature;Importance
EXT_SOURCE_2;783
INSTAL_AMT_PAYMENT_MIN;711
EXT_SOURCE_3;666
INSTAL_PAYMENT_DIFF_MAX;486
nan_ratio;435
PREV_NAME_YIELD_GROUP_high_MEAN;358
APPROVED_AMT_DOWN_PAYMENT_MIN;339
OWN_CAR_AGE;200
BURO_AMT_ANNUITY_MEAN;196
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN;195
PREV_PRODUCT_COMBINATION_Card_Street_MEAN;172
CNT_CHILDREN;139
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN;135
CODE_GENDER;111
REGION_RATING_CLIENT_W_CITY;104
PREV_PRODUCT_COMBINATION_Cash_X_Sell__high_MEAN;101
REG_CITY_NOT_WORK_CITY;79
FLAG_WORK_PHONE;74
NAME_INCOME_TYPE_Working;72
FLAG_DOCUMENT_3;63
LIVE_CITY_NOT_WORK_CITY;63
FLAG_OWN_CAR;50
NAME_EDUCATION_TYPE_Secondary_secondary_special;49
WALLSMATERIAL_MODE_Stone_brick;47
NAME_INCOME_TYPE_Commercial_associate;46
DEF_60_CNT_SOCIAL_CIRCLE;43
NAME_EDUCATION_TYPE_Higher_education;42
HOUSETYPE_MODE_block_of_flats;42
EMERGENCYSTATE_MODE_No;41
HOUSETYPE_MODE_nan;39
EMERGENCYSTATE_MODE_nan;35
WALLSMATERIAL_MODE_Panel;31
ORGANIZATION_TYPE_XNA;23
FLAG_EMP_PHONE;18
NAME_INCOME_TYPE_State_servant;12
